Entry_Number,Description,Category,Weight_g,Location,Page
Entry-14-52,"Employees, to distribute acontrolled dangerous substance ofSchedule l, to wit: Cannabis.",Flower,,,14
Entry-14-53,"controlled dangerous substance ofSchedule I, to wit: Cannabis, against the peace, government",Flower,,,14
Entry-14-54,"controlled dangerous substance ofSchedule I, to wit: Cannabis, against the peace, government",Flower,,,14
Entry-15-55,"distribute a controlled dangerous substance orSchedule l, to wit: Cannabis, against the peace,",Flower,,,15
Entry-15-56,"distribute a controlled dangerous substance ofSchedule I, to wit: Cannabis, against the peace,",Flower,,,15
Entry-15-57,"to distribute a controlled dangerous substance ofSchedule 1, to wit: Cannabis, against the peace.",Flower,,,15
Entry-16-58,"to distribute a controlled dangerous substance ofSchedule I, to wit: Cannabis, against the peace,",Flower,,,16
Entry-17-59,Count7-Cds:Import 5-45KiloCannabis-CR.5.614.(b)--1 0730,Flower,,,17
Entry-17-60,Count 9-Cds Poss W/IntOist-Cannabis-CR.5.602.(b)--1 1692,Flower,,,17
Entry-19-61,"investigating the distribution of Cannabis by Zaheer Bahar, an Asian male, having a date of birth of January",Flower,,,19
Entry-19-62,gradeCannabis underthe guiseofthe Cannabisbeingsold as a CBDorhempderivedproducts. Your affiantknows,Flower,,,19
Entry-20-63,CBDor Hempderivedproducts andthat only licensed Cannabis businesses suchas dispensaries can sell Cannabis.,Flower,,,20
Entry-20-64,Maryland state law prohibits anyone without a Cannabis license from distributing a product intended for human,Flower,,,20
Entry-20-65,consumptionor inhalationthatcontains morethan 0.5milligrams ofTetrahydrocannabinol(THC) or2.5 milligrams,Unknown,,,20
Entry-21-66,"Aberdeen, Maryland 21001, was participating in the distribution ofhigh-grade Cannabis. CI-1 is a past, proven,",Flower,,,21
Entry-21-67,"Detective Epps advised SergeantHelf, who then stopped Lewi forlittering. Detective Helfthenobserved a vapein",Cartridge,,,21
Entry-21-68,Lewi'srightpocket. Lewiinformed Sergeant Helfthat he(Lewi) was only 19 years old and thatthe vapecost him,Cartridge,,,21
Entry-21-69,to purchase Cannabis from the employee on location at the time. The employee advised Sergeant Helfto go to a,Flower,,at the time,21
Entry-21-70,"an addictive chemical. While in the store, Detective Sergeant Helfobserved various forms ofCannabis ondisplay",Flower,,,21
Entry-22-71,"Detective Armiger knows from his training, knowledge, and experience that the amount of Cannabis and U.S.",Flower,,,22
Entry-22-72,individual to possess for anypurposepermitted by law. Detective Armiger is aware that this amount ofCannabis,Flower,,,22
Entry-22-73,"During the third week of February 2025, Detective Sergeant Helf conducted a controlled purchase of",Preroll,,,22
Entry-22-74,Cannabis fromtheAll In OneFood Mart utilizingCI-1. ThepurchasedCannabis waslatertransported byDetective,Flower,,,22
Entry-22-78,"were conductedand it was learned thatall oftheir retail store locations were involved in thesale ofCannabis, and",Flower,,locations were involved in the,22
at 1215,"Sergeant Helfto the Maryland Alcohol, Tobacco, and Cannabis Commission (ATCC), located at 1215 East Fort",Flower,,,22
of 25,Cannabis Analyzer. The purchased Cannabis tested at a percent of 25.4% total Tetrahydrocannabinol (THC).,Flower,,,22
of25,advertised test results bytheproduct manufacturerthatit contained a total THC content of25%.,Unknown,,,22
Entry-23-80,"cartridges, pre-rolled Cannabis cigarettes (commonly referred to as Joints/Blunts), as well as various mushroom",Flower,,,23
Entry-23-81,edibles which were sold under the guise to have hallucinogenic properties like Psilocybin. While conducting,Edible,,,23
Entry-23-82,"undercoverpurchases, the detectives buying the products would referto them in common Cannabis terms such as",Flower,,,23
Entry-23-83,"""Flower"" and""Pre-Rolls."" Theundercover detectiveswould engage theclerks in discussions in whichthey stated,",Flower,,,23
Entry-23-84,"• THC Oil/Concentrate-3,295.3 Grams",Concentrate,295.3,,23
Entry-23-85,• Pre-Rolled Cannabis - 307.5 Grams,Flower,307.5,,23
Entry-23-86,• Pre-Packaged Cannabis-603.5 Grams,Flower,603.5,,23
Entry-23-87,"• LooseBulkCannabis - 2,691.8 Grams",Flower,691.8,,23
Entry-23-88,"• Suspected PsilocybinEdibles/Gumrnies - 2,499.4 Grams",Edible,499.4,,23
Entry-23-89,• THCGummies/Edibles-847.54 Grams,Edible,847.54,,23
